temperature_c,residence_time_s,steam_hc_kgkg,pressure_bar,ramp_exponent,x_c2h6,s_c2h4_mol,heat_MJ_per_kg_ethane,y_c2h4_kg_per_kg_ethane,y_ch4_kg_per_kg_ethane,y_h2_kg_per_kg_ethane,y_c2h2_kg_per_kg_ethane,y_c2h6_kg_per_kg_ethane,y_co_kg_per_kg_ethane,y_co2_kg_per_kg_ethane,y_c3_kg_per_kg_ethane,y_c4plus_kg_per_kg_ethane,carbon_residual,hydrogen_residual,oxygen_residual,mass_residual
794.814600338823,0.6858353649095379,0.031243820123686743,4.983400738153522,1.4038133885882507,0.10367580056075343,0.9315450556600036,1.0614693315225294,0.09010370043228344,0.0025610206363526713,0.006532688340221141,4.431153849757545e-05,0.8963241994392466,1.985654521644582e-08,1.3450667761287794e-13,0.0006257364664565854,0.0038028457031410658,8.881784197001252e-16,-1.1640032186962295e-15,-5.588255408059693e-15,2.220446049250313e-16
821.0348484199827,0.09492240228,0.6310554012459938,2.2668248270855296,2.1907591063793856,0.03982076518778643,0.9641079605053151,1.1299567296847812,0.03581761256432361,0.0005420725286884706,0.002575291324692268,1.5885828206096224e-05,0.9601792348122136,2.4425586059516367e-09,3.0521570173484164e-14,5.708904654456958e-05,0.0007949988340176852,-6.217248937900877e-15,-3.5059657217665073e-15,6.534844675189406e-15,-5.551115123125783e-16
913.7579880241606,0.04103018906861047,0.23955015932596602,2.638880380283979,1.9159758620816572,0.16751293878971496,0.9379611779272069,2.0025367944977837,0.1465867059856927,0.004204072944421495,0.010599031100771927,0.00029320835062246356,0.832487061210285,1.423350817660889e-07,3.6006652342113568e-12,0.0011727782456076412,0.004587245486106825,-1.7907897387203775e-13,7.063945191537875e-13,-8.676900669328797e-14,2.220446049250313e-16
901.8489411840451,0.6038563802478203,0.668418093544337,4.055843335260193,3.753096519790552,0.5801032346690053,0.9052040348065898,4.048022255351795,0.4899064222858163,0.023040867878639706,0.03666324925444312,0.0029605363277763336,0.41989676533099474,8.532652680229875e-05,4.0851357517273906e-08,0.008335887983655603,0.01901024130664792,-4.425348976155874e-13,2.2057176294103936e-12,-4.266950919893467e-13,1.3322676295501878e-15
896.3465626152362,0.05700388069357624,0.2944137797016085,1.6321357898950164,0.5223022246547626,0.3744483738835296,0.9327434100217403,2.892247989157212,0.32584833247087874,0.010593584902531396,0.023856035590600896,0.0011357427216463997,0.6255516261164704,3.6540682217539175e-06,2.9783972675457105e-10,0.003772349368727748,0.009168063571498086,-6.816769371198461e-14,3.889600328086285e-13,-1.3735880840459655e-13,8.881784197001252e-16
873.51132551758,0.09157551504427387,0.2789595421177268,2.605608426372411,0.6946159804888701,0.27768275900383477,0.9352918095916691,2.3248212924877576,0.24230223021814465,0.0072974172861628725,0.017647913738857504,0.0005381463818813885,0.7223172409961652,1.5431342715062293e-06,9.920663499502538e-11,0.002585662189278364,0.007267467343943044,-1.872946242542639e-13,7.970370099402935e-13,-1.4484920932960597e-13,0.0
994.1984758677818,1.4896151781413545,0.2987230862437151,4.229190477250443,0.6766302697052042,0.9790549893023626,0.2627084139397581,3.9952217078250105,0.2399619773291527,0.37822453337301515,0.04460063905844574,0.026848353376762,0.020945010697637385,0.008551500877115693,6.063353063852379e-05,0.007539883513657533,0.2787399097787555,-1.1446399383885364e-13,5.499996136517898e-13,-1.475122757846271e-13,-6.661338147750939e-16
897.8762371480424,0.025569834117440716,0.4431381965588059,3.2981017616979234,1.47506904855256,0.10610618744478617,0.9475895540898525,1.7673596298312233,0.09380421190279864,0.002200455883331281,0.006760659944439629,0.00013297884172498603,0.8938938125552138,4.7095776090263115e-08,1.2163863580233475e-12,0.00046870084049744774,0.0026847092804600137,-3.3084646133829665e-14,1.5259489354513036e-13,-2.911880929701896e-14,8.881784197001252e-16
776.1899774824176,1.3426740703701836,0.013997903341017616,2.7188422585013985,1.738043428366653,0.1008228726148559,0.9413558032841738,0.9686367709341729,0.08854707832759111,0.0021382392180383488,0.006411287118291297,3.5805792184215145e-05,0.8991771273851441,6.8491661367602925e-09,1.8508730667819444e-14,0.0004968674397047979,0.0031888857429813386,-2.1094237467877974e-15,-1.7626290119637852e-15,6.800855973335519e-14,-4.440892098500626e-16
840.3915633194996,0.12290869430710065,0.4111776906462523,4.462874585872351,2.874176796757925,0.0578417143748815,0.9522488789002136,1.2248233741548076,0.05138696770515962,0.001028538124026679,0.003700549367911827,3.1212562799040585e-05,0.9421582856251185,8.855123879179631e-09,1.5543371071730648e-13,0.0001366855518447724,0.001540495735961185,1.4654943925052066e-14,-7.011320042976776e-14,1.5044039799801876e-14,-1.1102230246251565e-16
